S.No,e-Published Date,Closing Date,Opening Date,Title and Ref.No./Tender ID,Organisation Chain,Tender Links,Organisation Name
203,2023-02-08 13:00:00,2023-02-27 11:00:00,2023-02-28 11:30:00,[e-Tender document for Outsourcing of BTS with associated activities in Rural area of Bikaner SSA]  [S-473/e-Tender/Cluster-2/BTS Outsource/Rural/Bik/2][2023_BSNL_144512_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Bikaner||AGM(Rural),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Sn4%2FQQUdSdv6JPTiUR4%2F%2FVg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
204,2023-02-08 11:40:00,2023-02-28 12:00:00,2023-03-01 12:15:00,"[Transportation, Installation of Battery banks, Power Plant and dismantling of old battery banks, Power Plant in Patna BA]  [BHPAT-23/11/23/2022-PLG/BTY PP INST][2023_BSNL_144575_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bihar Telecom Circle||P.G.M. Patna Telephones,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SmAMqJ7u6bo7YOATJA7dKTw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
205,2023-02-08 10:00:00,2023-02-28 15:00:00,2023-03-02 16:00:00,[SITCofPumpsatSitesinATD]  [49/EEE(AHD)/BSNL/2022-23][2023_BSNL_144490_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Gujarat Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SXXPU%2FvvRqxyRu0txQIf%2FrA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
206,2023-02-07 18:00:00,2023-02-15 18:00:00,2023-02-17 15:30:00,[CIVIL WORK]  [134/EEC/BSNL /JP/2022-23][2023_BSNL_144503_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||CE (CIVIL)||EE(C) Jaipur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SPiRxGqH9c0aO7zojSKNxFw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
207,2023-02-07 18:00:00,2023-02-27 12:00:00,2023-02-28 12:30:00,[T-02306-215/ OFC FAULT RESTORATION WORK/BNP PH-II ]  [T-02306-215/ OFC FAULT RESTORATION WORK/BNP PH-II ][2023_BSNL_144525_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S8CHm%2BfF5MhvzuNzW2p7Ctw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
208,2023-02-07 18:00:00,2023-02-14 15:00:00,2023-02-16 14:30:00,"[Comprehensive maintenance of PAC ,Window,Split AC units, AFD system and operation, monitoring and general maintenance of different Electro Mmechanical services at CONTAI Main T.E Bldg. Dist. East Medinipur. ( 5th Call)]  [15/BSNL/ED-KGP/2022-23,Dated 20.07.2022(5thCall)][2023_BSNL_144528_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SnfGPqJxdJ5%2B1qtWFXpZ9vg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
209,2023-02-07 17:45:00,2023-02-14 15:00:00,2023-02-16 14:30:00,"[Comprehensive maintenance of PAC, Window, Split AC units, AFD system and operation, monitoring and general maintenance of different Electro Mmechanical services at TE Bldg., Durgachak. Dist East Medinipur. ( 5th Call)]  [13/BSNL/ED-KGP/2022-23, Dated 05.07.2022(5th Call)][2023_BSNL_144506_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SWepmsDU69wgCeNlUawQfdA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
210,2023-02-07 17:00:00,2023-03-06 12:00:00,2023-03-07 12:00:00,[Running of Mess at Vikram Bhawan Hostel Madhuban IQ and canteen at Admin building in BRBRAITT JABALPUR]  [MM-8/77/Caretaking IQ and Hostel/2023-24][2023_BSNL_143455_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Bharat Ratna Bhim Rao Ambedkar Institute OF Telecom Training - Jabalpur||O/o CGM BRBRAITT, Jabalpur",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SHJFPac1qXVtoOlY%2BPcpxEA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
211,2023-02-07 17:00:00,2023-02-14 14:00:00,2023-02-15 15:00:00,[DE/TP/BSP/ETender/22-23/30 Dt07.02.23]  [DE/TP/BSP/ETender/22-23/30 Dt 07/02/23][2023_BSNL_144507_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Nagpur",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Su%2Bf8xREbWAOIgjTYwHcaHw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
212,2023-02-07 17:00:00,2023-02-20 18:00:00,2023-02-25 12:00:00,[OPERATION AND COMPREHENSIVE MAINTENANCE OF ELECTRO-MECHANICAL SERVICES IN TE BLDGS AT ROHAMA IN SSA SRINAGAR J And K]  [37/EE(E)/BSNL/ED/SGR/2022-23][2023_BSNL_144485_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SLx5fJRR0J6HqwHnL8QZMNA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
213,2023-02-07 17:00:00,2023-02-20 18:00:00,2023-02-25 12:00:00,[OPERATION AND COMPREHENSIVE MAINTENANCE OF ELECTRO-MECHANICAL SERVICES IN TE BLDGS. AT KUPWARA AND HANDWARA IN SSA SRINAGAR J AND K]  [38/EE(E)/BSNL/ED/SGR/2022-23][2023_BSNL_144496_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Jammu and Kashmir Telecom Circle||O/o CGMT, Jammu and Kashmir, Jammu",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=ShbBCXnZybJts3MRLqfzKRw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
214,2023-02-07 16:20:00,2023-02-13 15:00:00,2023-02-15 14:30:00,"[Comprehensive Maintenance, Monitoring and general maintenance of different Electromechanical services for Malancha T.E bldg. Dist. West Medinipur., SSA Kharagpur under BSNL Electrical Division, Kharagpur in Kharagpur OA.( 5th Call)]  [08/BSNL/ED KGP/2022 23,Dated 22.06.2022(5th Call)][2023_BSNL_144494_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SSB%2FsZF9xVsENxC95xa2Dbg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
215,2023-02-07 16:00:00,2023-02-13 15:00:00,2023-02-15 14:30:00,"[Comprehensive Maintenance,Monitoring and General Maintenance of different Electro Mechanical Services in RSU Bogda TE Bldg. Dist West Medinipur under BSNL Electrical Division, Kharagpur in Kharagpur OA. ( 5th Call )]  [07/BSNL/ED-KGP/2022-23,Dated 21.06.2022 (5th Call)][2023_BSNL_144487_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SzU5Fp%2BrWd3Bm9is6UX2Ufw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
216,2023-02-07 15:30:00,2023-02-13 15:00:00,2023-02-15 14:30:00,"[Comprehensive Maintenance of Window, Split AC units, AFD System and Operation, monitoring and General Maintenance of different Electro-Mechanical Services in Bankura TE and adjacent CSC Bldg., Bankura.( 4th Call)]  [25/BSNL/ED-KGP/2022-23, Dated16.11.2022 (4th Call)][2023_BSNL_144473_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SyKiwO038yGngciWOqhAKTg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
217,2023-02-07 15:00:00,2023-02-14 14:00:00,2023-02-15 15:00:00,[DE/TP/RP/ETender/ 22-23/ 58 dt 07/02/23]  [DE/TP/RP/ETender/ 22-23/ 58 Dt07/02/23][2023_BSNL_144415_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Nagpur",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SKCokZ%2BRiq27a9WNnYHxkug%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
218,2023-02-07 15:00:00,2023-02-28 15:00:00,2023-03-01 16:00:00,[Laying of OFC in Bhadrak Zone]  [N-35/2022-23/01][2023_BSNL_144456_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||GMTD,Balasore",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SqlWIkBeO9pWtZqB1qRhkwQ%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
219,2023-02-07 15:00:00,2023-02-28 15:00:00,2023-03-01 16:00:00,[Laying of OFC in Jaleswar Zone]  [N-35/2022-23/01][2023_BSNL_144452_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||GMTD,Balasore",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SOkqSsYv1ZRWvmjbeVb7%2BRA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
220,2023-02-07 15:00:00,2023-02-28 15:00:00,2023-03-01 16:00:00,[Laying of OFC in Balasore Zone ]  [N-35/2022-23/01][2023_BSNL_144441_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Odisha Telecom Circle||GMTD,Balasore",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SmhYwVeP3iaj5XKvUnDjz3w%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
221,2023-02-07 15:00:00,2023-02-27 13:00:00,2023-02-28 13:00:00,[T-02306-206/ SLA BASED OFC MTC/UJJAIN oA]  [T-02306-206/ SLA BASED OFC MTC/UJJAIN OA][2023_BSNL_144422_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Sk%2B59UMw%2FMy1pVJMp0Fsn7w%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
222,2023-02-07 12:00:00,2023-02-14 18:00:00,2023-02-16 15:30:00,[66/EEC/BSNL/CD/BGL/2022-23]  [66/EEC/BSNL/CD/BGL/2022-23][2022_BSNL_140140_4],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||CE (Civil) Bengaluru,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SrXXFAYYIX2GTo5GG9TfjqQ%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
223,2023-02-06 18:55:00,2023-02-21 12:00:00,2023-02-22 12:05:00,[DE /CNTXW/LTR/PW13/PH IV/22-23 Dt 06.02.23]  [DE /CNTXW/LTR/PW13/PH IV/22-23 Dt 06.02.23][2023_BSNL_144380_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Pune",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SdwFKAOI9X9UJEy6CeC6X9A%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
224,2023-02-06 18:50:00,2023-02-16 15:00:00,2023-02-18 16:00:00,"[Comprehensive maintenance and operation, monitoring and general maintenance of different electro-mechanical services at Coaxial TE staff quarters Burdwan, OA-Burdwan of Asansol BA.(2nd call)]  [36/BSNL ED-ASL/2022-23 (2nd call) dated 06.02.2023][2023_BSNL_144401_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Su8nH2Z4PXKgm92gbJKVwxg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
225,2023-02-06 18:40:00,2023-02-16 15:00:00,2023-02-18 16:00:00,"[Comprehensive maintenance of Window , Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at TE building Kalna, OA-Burdwan of Asansol BA.(2nd call)]  [35/BSNL ED-ASL/2022-23 (2nd call) dated 06.02.2023][2023_BSNL_144398_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S%2BW7k7ZonZuawTaK9aW5kfQ%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
226,2023-02-06 18:30:00,2023-02-16 15:00:00,2023-02-18 16:00:00,"[Comprehensive maintenance of Window , Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at TE building Samudragarh, OA-Burdwan of Asansol BA.(2nd call)]  [34/BSNL ED-ASL/2022-23 (2nd call) dated 06.02.2023][2023_BSNL_144390_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SSHU1VapnfC6uNuuP13PIuA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
227,2023-02-06 18:30:00,2023-02-16 15:00:00,2023-02-18 16:00:00,"[Comprehensive maintenance of Window , Split AC units, AFD system and operation, monitoring and general maintenance of different electro-mechanical services at TE building Bahula, OA-Asansol of Asansol BA.(2nd call)]  [33/BSNL ED-ASL/2022-23 (2nd call) dated 06.02.2023][2023_BSNL_144376_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||West Bengal Telecom Circle||CE (Electrical),https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S55Kl3T99TZaeryxMlKMukQ%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
228,2023-02-06 18:00:00,2023-02-27 14:00:00,2023-02-28 15:00:00,[ 40-382/2023-Plg/Tender for Caretaking and Upkeeping of Added Exchanges in (Unnao Fatehpur Farrukhabad OA)]  [40-382/2023-Plg/Tender for Added Exchange UNOFTPFB][2023_BSNL_144242_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SWauNQKGTi7vj4ni3KqIn8g%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
229,2023-02-06 18:00:00,2023-02-21 12:00:00,2023-02-22 12:05:00,[DE /CNTXW/LTR/PW12/PH IV/22-23 Dt 06.02.23]  [DE /CNTXW/LTR/PW12/PH IV/22-23 Dt 06.02.23][2023_BSNL_144373_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Pune",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SPS0O9IzdVQU90QbgWqSaEw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
230,2023-02-06 18:00:00,2023-02-21 12:00:00,2023-02-22 12:05:00,[DE /CNTXW/LTR/PW11/PH IV/22-23 Dt 06.02.23]  [DE /CNTXW/LTR/PW11/PH IV/22-23 Dt 06.02.23][2023_BSNL_144371_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Pune",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SKegGPnuRJ1gggSeczFImxg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
231,2023-02-06 18:00:00,2023-02-27 11:00:00,2023-02-28 14:00:00,[MM TENDER/UPS BATTERY/KLM BA/2022-23/13]  [MM Tender/UPS BATTERY/KLM BA/2022-23/14][2023_BSNL_144350_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o GMT, Kollam||AGM (Admin),O/o GMT, Kollam",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Saolnmxrbwj1zu5lnsktOyA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
232,2023-02-06 18:00:00,2023-02-13 18:00:00,2023-02-16 15:30:00,[REPAIRING CK READY HALL ]  [30/2022-23/EE/CD/ALT/GZB][2023_BSNL_144342_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Advanced Level Telecom Training Centre Ghaziabad||O/o CGMT, ALTTC",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S%2FZnbdp7Xf9bKeJLCxAr3PA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
233,2023-02-06 18:00:00,2023-02-21 12:00:00,2023-02-22 12:05:00,[DE /CNTXW/LTR/PW10/PH IV/22-23 Dt 06.02.23]  [DE /CNTXW/LTR/PW10/PH IV/22-23 Dt 06.02.23][2023_BSNL_144353_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Western Telecom Region||WTR, Pune",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=S529tAoU8DXAEY56R260RYg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
234,2023-02-06 18:00:00,2023-02-27 14:00:00,2023-02-28 15:00:00,[ 40-382/2023-Plg/Tender for Caretaking and Upkeeping of Added Exchanges in Kanpur OA]  [40-382/2023-Plg/Tender for Caretaking of Added Xge][2023_BSNL_144131_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||UP(EAST) Telecom Circle||Business Area Kanpur,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SjJxtYlTMpagdaY0Ty43eLw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
235,2023-02-06 18:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,[REPAIRING OF FAULTY SMPS P/P MODULES OF 25/50/100/200 AMP in Bundi OA]  [T-357/E-Tender/GM/KT/Power Plant modules repairing][2023_BSNL_144051_1],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Kota,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SXKe6dB1MNkb7TkK1K%2Fs7ew%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
236,2023-02-06 18:00:00,2023-02-13 18:00:00,2023-02-16 15:30:00,[Jungle cleaning around the CKReddy hall ALTTC Compound Ghaziabad]  [29/2022-23/EE/CD/ALT/GZB][2023_BSNL_144313_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Advanced Level Telecom Training Centre Ghaziabad||O/o CGMT, ALTTC",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Sxv2hS%2BYSWjs6hMmftpJQnA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
237,2023-02-06 18:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,"[E-Tender Enquiry document for Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fiber Cable Pulling/Blowing and splicing works etc., for Commissioning of ILL at Chambal River Front Project Kota 24F/48F O]  [T-359/E-Tender/GMTD/KT/OFC/ILL Chambal River Front][2023_BSNL_144286_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Kota,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SCF56Gd2zAtRMsc3PsMHmTw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
238,2023-02-06 18:00:00,2023-02-13 18:00:00,2023-02-16 15:30:00,[ITEM RATE]  [28/2022-23/EE/CD/ALT/GZB][2023_BSNL_144139_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Advanced Level Telecom Training Centre Ghaziabad||O/o CGMT, ALTTC",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SedAdngKjIAciiaaK0WqxSA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
239,2023-02-06 18:00:00,2023-02-20 15:00:00,2023-02-21 15:00:00,"[Laying PLB pipe/ Duct and Associated works by Open Trench Method/Trenchless Technology, Optical Fibre Cable Pulling/Blowing and splicing works etc., for 4G saturation project ]  [T-360/E-Tender/GMTD/KT/4G Saturation Project/Baran][2023_BSNL_144317_1]",Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Rajasthan Telecom Circle||GMTD-Kota,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SD8gEHIl8fdG3E8%2FdEfjNzA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
240,2023-02-06 17:00:00,2023-02-13 15:00:00,2023-02-14 15:30:00,[NIT No. 31 /EE(C) /BSNL-BPL/2022-23 ]  [NIT No. 31 /EE(C) /BSNL-BPL/2022-23 ][2023_BSNL_144248_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SbZwBdzyI5LXgM6fsyVCc5g%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
241,2023-02-06 16:00:00,2023-02-27 10:00:00,2023-02-28 11:00:00,[OFC Construction Works at Chetlat and Kavarathi]  [PLG/500-5/OF/LKD/2022-23/60][2023_BSNL_144322_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Kerala Telecom Circle||O/o PGMT, Ernakulam||AGM (Cab Plg.), O/o PGMT, Ernakulam",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=Skc1HA9eraHft99XR%2Fvlbjg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
242,2023-02-06 13:00:00,2023-02-13 18:00:00,2023-02-17 16:00:00,[Replacement of iron shades for CCA at TH]  [100/CD-I/BSNL/Kol/22-23][2023_BSNL_144244_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Calcutta Telephone District||CE (Civil), Kolkata TD||SE (Civil), Kolkata TD",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SIgeJkcNQoqFx2A7gmsBKow%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
243,2023-02-06 10:30:00,2023-02-28 15:00:00,2023-03-03 15:30:00,[Providing of Electro Mechanical Infrastructure for NFS Project Package 1B at IAF STATION 1 BIDAR SH Advanced Lightning System Surge Protection Devices SPD and Misc. Works second call]  [6 ED BSNL HBL 22 23][2023_BSNL_144174_2],Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Karnataka Telecom Circle||CE (Electrical) Bengaluru,https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=STGA3563YmJ3UM0%2BXAHxubg%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
244,2023-02-06 09:00:00,2023-02-11 15:00:00,2023-02-13 15:00:00,[BHARAT NET PHASE 2 Contingency work in PANSEMAL AND SENDHWA Block in Khargone OA ]  [T-1300/BHARAT NET PHASE II CONTINGENCY/PANSEMAL ][2023_BSNL_144187_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SAX%2BtypND5I0plE%2F8%2BTRZnQ%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
245,2023-02-06 09:00:00,2023-02-11 15:00:00,2023-02-13 15:00:00,[BHARAT NET PHASE II CONTINGENCY WORK IN SONDWA AND KATHHIWADA BLOCK IN JHABUA OA]  [T-1299/BHARAT NET PHASE II CONTINGENCY/SONDWA ][2023_BSNL_144186_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SYuCH8ipH2cT7ihQzx%2BjdjA%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
246,2023-02-06 09:00:00,2023-02-11 15:00:00,2023-02-13 15:00:00,[BHARATNET PHASE 2 Contingency work in Rama Meghnagar Ranapur Block in Jhabua OA ]  [T-1298/BHARAT NET PHASE II CONTINGENCY WORK/JHABUA][2023_BSNL_144185_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SAAjFPOeMa20N6mQ4y8XSAw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
247,2023-02-06 09:00:00,2023-02-11 15:00:00,2023-02-13 15:00:00,[BHARAT NET PHASE 2 Contingency work in Pati Thikri Rajpur Block of Khargone OA]  [T-1301/BHARAT NET PHASE II CONTINGENCY/PATI THIKRI][2023_BSNL_144188_1],"Bharat Sanchar Nigam Limited (Govt of India Enterprise)||Madhya Pradesh Telecom Circle- Bhopal||O/o CGMT, MP Telecom Circle Bhopal",https://etenders.gov.in/eprocure/app?component=%24DirectLink&page=FrontEndViewTender&service=direct&session=T&sp=SMZ1fnm1FMKnZcCXPBXn8qw%3D%3D,Bharat Sanchar Nigam Limited (Govt of India Enterprise)
